,Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Auburn will beat Georgia?,Unnamed: 10,What probability do you assign to this?,Mississippi State will beat Alabama?,Unnamed: 13,What probability do you assign to this?.1,Missouri will be Florida?,Unnamed: 16,What probability do you assign to this?.2,Vanderbilt will beat Kentucky?,Unnamed: 19,What probability do you assign to this?.3,Ole Miss will be LSU?,Unnamed: 22,What probability do you assign to this?.4,Texas A&M will beat South Carolina?,Unnamed: 25,What probability do you assign to this?.5
0.0,,,,,,,,,,TRUE,FALSE,Open-Ended Response,TRUE,FALSE,Open-Ended Response,TRUE,FALSE,Open-Ended Response,TRUE,FALSE,Open-Ended Response,TRUE,FALSE,Open-Ended Response,TRUE,FALSE,Open-Ended Response
1.0,11149790826,249314731,11/16/19 10:58,11/16/19 10:59,75.143.86.222,x121@x.edu,,,,TRUE,,100,,FALSE,100,,FALSE,100,,FALSE,5,,FALSE,100,TRUE,,0
2.0,11149727519,249314731,11/16/19 10:09,11/16/19 10:12,68.119.92.2,x88@x.edu,,,,TRUE,,51,,FALSE,100,,FALSE,100,,FALSE,51,,FALSE,100,TRUE,,53
3.0,11149443340,249314731,11/16/19 6:01,11/16/19 6:01,174.223.2.27,x70@x.edu,,,,TRUE,,100,,FALSE,100,,FALSE,100,TRUE,,100,,FALSE,100,TRUE,,100
4.0,11148765565,249314731,11/15/19 18:01,11/15/19 18:02,174.223.13.10,x56@x.edu,,,,TRUE,,15,,FALSE,100,,FALSE,17,,FALSE,11,,FALSE,100,TRUE,,22
5.0,11148549608,249314731,11/15/19 15:58,11/15/19 15:59,174.235.133.174,x29@x.edu,,,,TRUE,,0,,FALSE,100,,FALSE,68,,FALSE,8,,FALSE,100,TRUE,,52
6.0,11148285638,249314731,11/15/19 14:08,11/15/19 14:09,131.204.254.84,x30@x.edu,,,,TRUE,,72,,FALSE,48,,FALSE,90,,FALSE,0,,FALSE,91,,FALSE,68
7.0,11148180303,249314731,11/15/19 13:29,11/15/19 13:29,24.178.180.6,x111@x.edu,,,,,FALSE,17,,FALSE,65,,FALSE,44,,FALSE,25,,FALSE,94,,FALSE,19
8.0,11147973012,249314731,11/15/19 12:14,11/15/19 12:17,104.222.16.193,x127@x.edu,,,,,FALSE,0,,FALSE,87,,FALSE,8,,FALSE,6,,FALSE,88,TRUE,,33
9.0,11147956714,249314731,11/15/19 12:10,11/15/19 12:11,75.143.89.8,x20@x.edu,,,,,FALSE,77,,FALSE,98,,FALSE,55,,FALSE,99,,FALSE,98,TRUE,,61
10.0,11147947897,249314731,11/15/19 12:08,11/15/19 12:09,131.204.254.85,x4@x.edu,,,,TRUE,,30,,FALSE,79,,FALSE,37,,FALSE,63,,FALSE,77,TRUE,,35
11.0,11147928280,249314731,11/15/19 12:02,11/15/19 12:03,172.72.103.103,x137@x.edu,,,,,FALSE,26,,FALSE,47,,FALSE,33,,FALSE,42,,FALSE,100,,FALSE,100
12.0,11146140246,249314731,11/14/19 21:55,11/14/19 21:55,24.241.219.87,x120@x.edu,,,,TRUE,,0,,FALSE,95,,FALSE,89,,FALSE,83,,FALSE,100,TRUE,,0
13.0,11145558126,249314731,11/14/19 16:41,11/14/19 16:43,172.58.172.197,x67@x.edu,,,,TRUE,,20,,FALSE,100,,FALSE,89,,FALSE,0,,FALSE,100,TRUE,,87
14.0,11145051356,249314731,11/14/19 13:42,11/14/19 13:44,75.33.72.141,x57@x.edu,,,,,FALSE,35,,FALSE,85,,FALSE,35,,FALSE,29,,FALSE,83,TRUE,,35
15.0,11144573313,249314731,11/14/19 11:20,11/14/19 11:20,131.204.254.85,x69@x.edu,,,,TRUE,,7,,FALSE,99,,FALSE,53,TRUE,,64,,FALSE,99,TRUE,,47
16.0,11144256299,249314731,11/14/19 9:49,11/14/19 9:49,24.178.180.6,x150@x.edu,,,,TRUE,,0,,FALSE,63,,FALSE,51,,FALSE,0,,FALSE,65,TRUE,,31
17.0,11142555597,249314731,11/13/19 19:24,11/13/19 19:25,24.179.45.224,x79@x.edu,,,,TRUE,,66,,FALSE,100,,FALSE,100,,FALSE,28,,FALSE,100,TRUE,,0
18.0,11142307632,249314731,11/13/19 17:24,11/13/19 17:25,131.204.254.85,x115@x.edu,,,,TRUE,,36,,FALSE,100,,FALSE,45,,FALSE,41,,FALSE,100,,FALSE,58
19.0,11141993218,249314731,11/13/19 15:22,11/13/19 15:23,50.30.132.146,x107@x.edu,,,,,FALSE,66,,FALSE,89,,FALSE,61,,FALSE,9,,FALSE,88,TRUE,,88
20.0,11141752530,249314731,11/13/19 14:06,11/13/19 14:07,24.179.7.146,x53@x.edu,,,,TRUE,,36,,FALSE,71,TRUE,,22,,FALSE,61,,FALSE,100,TRUE,,30
21.0,11141580256,249314731,11/13/19 13:07,11/13/19 13:17,131.204.254.85,x81@x.edu,,,,TRUE,,14,,FALSE,97,,FALSE,51,,FALSE,52,,FALSE,100,TRUE,,34
22.0,11141529466,249314731,11/13/19 13:02,11/13/19 13:02,131.204.254.86,x59@x.edu,,,,TRUE,,100,,FALSE,100,,FALSE,100,,FALSE,49,,FALSE,100,TRUE,,100
23.0,11141481886,249314731,11/13/19 12:44,11/13/19 12:48,131.204.254.86,x9@x.edu,,,,TRUE,,10,,FALSE,92,,FALSE,48,,FALSE,38,,FALSE,90,TRUE,,41
24.0,11141437551,249314731,11/13/19 12:34,11/13/19 12:34,131.204.254.87,x94@x.edu,,,,TRUE,,72,,FALSE,100,,FALSE,67,,FALSE,70,,FALSE,100,,FALSE,28
25.0,11141395746,249314731,11/13/19 12:21,11/13/19 12:22,75.143.91.69,x35@x.edu,,,,TRUE,,53,,FALSE,100,,FALSE,69,,FALSE,77,,FALSE,100,TRUE,,49
26.0,11141371776,249314731,11/13/19 12:14,11/13/19 12:15,131.204.254.85,x144@x.edu,,,,TRUE,,10,,FALSE,95,,FALSE,50,,FALSE,50,,FALSE,95,TRUE,,15
27.0,11141362690,249314731,11/13/19 12:12,11/13/19 12:12,24.214.113.54,x151@x.edu,,,,TRUE,,70,,FALSE,47,,FALSE,46,,FALSE,41,,FALSE,82,TRUE,,41
28.0,11141352843,249314731,11/13/19 12:09,11/13/19 12:10,131.204.254.84,x68@x.edu,,,,,FALSE,68,,FALSE,100,,FALSE,67,TRUE,,0,,FALSE,100,TRUE,,39
29.0,11141338178,249314731,11/13/19 12:04,11/13/19 12:05,131.204.254.84,x10@x.edu,,,,TRUE,,12,,FALSE,80,,FALSE,49,TRUE,,5,,FALSE,99,TRUE,,30
30.0,11141336393,249314731,11/13/19 12:04,11/13/19 12:05,68.184.57.45,x2@x.edu,,,,TRUE,,100,,FALSE,100,,FALSE,100,,FALSE,100,,FALSE,100,TRUE,,100
31.0,11141335254,249314731,11/13/19 12:03,11/13/19 12:04,174.223.137.159,x26@x.edu,,,,TRUE,,12,,FALSE,100,,FALSE,52,,FALSE,25,,FALSE,100,TRUE,,45
32.0,11141331945,249314731,11/13/19 12:03,11/13/19 12:04,12.90.118.66,x86@x.edu,,,,TRUE,,50,,FALSE,100,,FALSE,100,,FALSE,67,,FALSE,100,TRUE,,75
33.0,11141331773,249314731,11/13/19 12:03,11/13/19 12:03,131.204.254.87,x122@x.edu,,,,,FALSE,100,,FALSE,100,,FALSE,69,,FALSE,26,,FALSE,100,TRUE,,64
34.0,11141157837,249314731,11/13/19 11:13,11/13/19 11:14,131.204.254.87,x113@x.edu,,,,TRUE,,32,,FALSE,99,,FALSE,95,,FALSE,73,,FALSE,98,TRUE,,66
35.0,11141156230,249314731,11/13/19 11:12,11/13/19 11:13,131.204.74.31,x78@x.edu,,,,TRUE,,0,,FALSE,100,,FALSE,100,,FALSE,50,,FALSE,100,TRUE,,100
36.0,11141118251,249314731,11/13/19 11:02,11/13/19 11:03,131.204.254.87,x60@x.edu,,,,TRUE,,47,,FALSE,96,,FALSE,48,,FALSE,60,,FALSE,100,TRUE,,50
37.0,11140882011,249314731,11/13/19 10:01,11/13/19 10:02,131.204.254.87,x55@x.edu,,,,TRUE,,62,,FALSE,99,,FALSE,59,,FALSE,61,,FALSE,99,TRUE,,51
38.0,11139064519,249314731,11/12/19 19:25,11/12/19 19:26,75.143.80.45,x27@x.edu,,,,TRUE,,26,,FALSE,62,,FALSE,65,TRUE,,49,,FALSE,92,TRUE,,35
39.0,11138758467,249314731,11/12/19 17:07,11/12/19 17:08,107.77.236.220,x12@x.edu,,,,TRUE,,20,,FALSE,76,,FALSE,69,,FALSE,73,,FALSE,84,TRUE,,80
40.0,11138490965,249314731,11/12/19 15:31,11/12/19 15:32,131.204.254.84,x128@x.edu,,,,TRUE,,13,,FALSE,70,,FALSE,24,,FALSE,36,,FALSE,83,TRUE,,27
41.0,11138483148,249314731,11/12/19 15:29,11/12/19 15:29,131.204.108.187,x136@x.edu,,,,TRUE,,61,,FALSE,100,,FALSE,100,,FALSE,47,,FALSE,100,TRUE,,40
42.0,11138283007,249314731,11/12/19 14:24,11/12/19 14:24,131.204.254.85,x108@x.edu,,,,TRUE,,100,,FALSE,99,TRUE,,0,TRUE,,50,,FALSE,100,,FALSE,50
43.0,11136881258,249314731,11/12/19 7:48,11/12/19 7:50,131.204.8.6,x61@x.edu,,,,TRUE,,0,,FALSE,100,,FALSE,100,,FALSE,100,,FALSE,100,TRUE,,30
44.0,11135813507,249314731,11/11/19 21:07,11/11/19 21:08,24.179.34.52,x105@x.edu,,,,,FALSE,100,,FALSE,100,,FALSE,100,,FALSE,100,,FALSE,100,TRUE,,100
45.0,11135613232,249314731,11/11/19 19:13,11/11/19 19:14,174.81.153.189,x80@x.edu,,,,,FALSE,8,,FALSE,83,,FALSE,27,,FALSE,27,,FALSE,39,TRUE,,19
46.0,11135605535,249314731,11/11/19 19:09,11/11/19 19:10,68.207.176.108,x89@x.edu,,,,TRUE,,6,,FALSE,98,,FALSE,50,,FALSE,48,,FALSE,99,TRUE,,50
47.0,11135589049,249314731,11/11/19 19:01,11/11/19 19:02,75.143.84.179,x74@x.edu,,,,,FALSE,53,,FALSE,100,,FALSE,100,,FALSE,100,,FALSE,100,TRUE,,52
48.0,11135442589,249314731,11/11/19 17:44,11/11/19 17:44,68.113.90.141,x65@x.edu,,,,TRUE,,98,,FALSE,99,,FALSE,98,TRUE,,59,,FALSE,99,TRUE,,99
49.0,11135402429,249314731,11/11/19 17:22,11/11/19 17:23,50.30.132.21,x63@x.edu,,,,TRUE,,44,,FALSE,72,,FALSE,80,TRUE,,24,,FALSE,100,,FALSE,55
50.0,11135371028,249314731,11/11/19 17:05,11/11/19 17:06,64.125.109.186,x73@x.edu,,,,,FALSE,82,,FALSE,98,,FALSE,98,,FALSE,95,,FALSE,99,TRUE,,72
51.0,11135347252,249314731,11/11/19 16:53,11/11/19 16:55,192.104.67.121,x25@x.edu,,,,TRUE,,1,,FALSE,98,,FALSE,98,,FALSE,49,,FALSE,98,TRUE,,49
52.0,11135317394,249314731,11/11/19 16:41,11/11/19 16:41,131.204.254.86,x117@x.edu,,,,TRUE,,100,,FALSE,100,,FALSE,100,,FALSE,100,,FALSE,100,TRUE,,100
53.0,11135284040,249314731,11/11/19 16:25,11/11/19 16:26,131.204.254.84,x32@x.edu,,,,,FALSE,3,,FALSE,95,,FALSE,53,,FALSE,5,,FALSE,92,TRUE,,57
54.0,11135174450,249314731,11/11/19 15:38,11/11/19 15:38,131.204.254.87,x76@x.edu,,,,TRUE,,13,,FALSE,75,,FALSE,20,,FALSE,84,,FALSE,99,TRUE,,28
55.0,11135162950,249314731,11/11/19 15:33,11/11/19 15:33,174.81.145.118,x49@x.edu,,,,TRUE,,35,,FALSE,100,,FALSE,100,,FALSE,70,,FALSE,100,TRUE,,76
56.0,11135017606,249314731,11/11/19 14:33,11/11/19 14:34,131.204.254.87,x125@x.edu,,,,,FALSE,100,,FALSE,100,,FALSE,100,,FALSE,100,,FALSE,100,TRUE,,24
57.0,11135005408,249314731,11/11/19 14:29,11/11/19 14:29,174.223.128.192,x110@x.edu,,,,TRUE,,22,,FALSE,92,,FALSE,15,,FALSE,14,,FALSE,69,,FALSE,82
58.0,11134923862,249314731,11/11/19 13:57,11/11/19 13:58,131.204.254.86,x104@x.edu,,,,TRUE,,55,,FALSE,100,,FALSE,60,,FALSE,73,,FALSE,100,TRUE,,100
59.0,11134906423,249314731,11/11/19 13:51,11/11/19 13:51,104.145.92.20,x140@x.edu,,,,,FALSE,59,,FALSE,85,,FALSE,82,TRUE,,80,,FALSE,94,,FALSE,68
60.0,11134884631,249314731,11/11/19 13:42,11/11/19 13:43,99.191.234.102,x126@x.edu,,,,TRUE,,49,,FALSE,100,,FALSE,54,,FALSE,31,,FALSE,100,TRUE,,28
61.0,11134874525,249314731,11/11/19 13:39,11/11/19 13:39,174.218.44.171,x75@x.edu,,,,TRUE,,27,,FALSE,100,,FALSE,49,TRUE,,33,,FALSE,100,TRUE,,46
62.0,11134782558,249314731,11/11/19 13:05,11/11/19 13:06,68.119.84.90,x131@x.edu,,,,TRUE,,98,,FALSE,99,,FALSE,99,TRUE,,49,,FALSE,99,TRUE,,51
63.0,11134760532,249314731,11/11/19 12:57,11/11/19 12:58,131.204.254.85,x85@x.edu,,,,,FALSE,78,,FALSE,98,,FALSE,50,,FALSE,99,,FALSE,99,TRUE,,88
64.0,11134716323,249314731,11/11/19 12:41,11/11/19 12:42,131.204.254.87,x36@x.edu,,,,,FALSE,33,,FALSE,99,,FALSE,17,,FALSE,23,,FALSE,99,,FALSE,48
65.0,11134641361,249314731,11/11/19 12:15,11/11/19 12:16,131.204.254.85,x43@x.edu,,,,,FALSE,100,,FALSE,100,,FALSE,100,TRUE,,100,,FALSE,100,TRUE,,100
66.0,11134605199,249314731,11/11/19 12:03,11/11/19 12:04,68.113.88.219,x153@x.edu,,,,TRUE,,13,,FALSE,100,,FALSE,31,,FALSE,33,,FALSE,100,TRUE,,26
67.0,11134605015,249314731,11/11/19 12:03,11/11/19 12:04,131.204.254.87,x98@x.edu,,,,,FALSE,0,,FALSE,99,,FALSE,50,,FALSE,74,,FALSE,99,TRUE,,29
68.0,11134560178,249314731,11/11/19 11:48,11/11/19 11:48,50.30.132.24,x100@x.edu,,,,,FALSE,35,,FALSE,100,,FALSE,72,,FALSE,32,,FALSE,100,TRUE,,48
69.0,11134495405,249314731,11/11/19 11:23,11/11/19 11:26,207.229.100.161,x93@x.edu,,,,TRUE,,34,,FALSE,100,,FALSE,100,,FALSE,15,,FALSE,100,TRUE,,51
70.0,11134484383,249314731,11/11/19 11:21,11/11/19 11:22,131.204.254.87,x42@x.edu,,,,TRUE,,100,,FALSE,100,,FALSE,20,,FALSE,21,,FALSE,100,TRUE,,100
71.0,11134435337,249314731,11/11/19 11:04,11/11/19 11:05,131.204.254.86,x39@x.edu,,,,TRUE,,49,,FALSE,99,,FALSE,76,,FALSE,70,,FALSE,99,TRUE,,54
72.0,11134426114,249314731,11/11/19 11:00,11/11/19 11:02,131.204.254.85,x34@x.edu,,,,TRUE,,22,,FALSE,100,,FALSE,50,,FALSE,10,,FALSE,100,TRUE,,26
73.0,11134393262,249314731,11/11/19 10:49,11/11/19 10:51,131.204.254.85,x77@x.edu,,,,TRUE,,49,,FALSE,97,,FALSE,60,,FALSE,49,,FALSE,100,TRUE,,62
74.0,11134332730,249314731,11/11/19 10:30,11/11/19 10:30,131.204.254.84,x37@x.edu,,,,TRUE,,23,,FALSE,98,,FALSE,77,,FALSE,51,,FALSE,98,TRUE,,49
75.0,11134324372,249314731,11/11/19 10:27,11/11/19 10:27,131.204.254.86,x21@x.edu,,,,TRUE,,8,,FALSE,99,,FALSE,34,,FALSE,91,,FALSE,99,TRUE,,51
76.0,11134316007,249314731,11/11/19 10:21,11/11/19 10:25,131.204.91.164,x31@x.edu,,,,TRUE,,1,,FALSE,99,,FALSE,99,,FALSE,99,,FALSE,100,TRUE,,49
77.0,11134275307,249314731,11/11/19 10:10,11/11/19 10:11,131.204.254.109,x14@x.edu,,,,TRUE,,21,,FALSE,82,,FALSE,49,,FALSE,32,,FALSE,100,TRUE,,20
78.0,11134255049,249314731,11/11/19 10:03,11/11/19 10:04,107.137.43.21,x54@x.edu,,,,,FALSE,19,,FALSE,99,,FALSE,83,TRUE,,29,,FALSE,100,,FALSE,71
79.0,11134237656,249314731,11/11/19 9:58,11/11/19 9:58,72.15.119.230,x112@x.edu,,,,,FALSE,53,,FALSE,100,,FALSE,69,TRUE,,20,,FALSE,100,TRUE,,50
80.0,11134229295,249314731,11/11/19 9:55,11/11/19 9:55,131.204.254.85,x124@x.edu,,,,TRUE,,2,,FALSE,91,,FALSE,90,,FALSE,5,,FALSE,90,TRUE,,51
81.0,11134217478,249314731,11/11/19 9:50,11/11/19 9:51,174.81.147.55,x66@x.edu,,,,,FALSE,51,,FALSE,100,,FALSE,50,,FALSE,50,,FALSE,100,TRUE,,33
82.0,11134214692,249314731,11/11/19 9:50,11/11/19 9:50,72.15.126.52,x50@x.edu,,,,TRUE,,55,,FALSE,99,,FALSE,99,,FALSE,49,,FALSE,99,TRUE,,46
83.0,11134164288,249314731,11/11/19 9:32,11/11/19 9:33,174.81.150.134,x149@x.edu,,,,TRUE,,26,,FALSE,67,,FALSE,41,,FALSE,72,,FALSE,99,TRUE,,28
84.0,11134161305,249314731,11/11/19 9:31,11/11/19 9:32,131.204.254.85,x96@x.edu,,,,TRUE,,48,,FALSE,95,,FALSE,9,,FALSE,11,,FALSE,98,TRUE,,20
85.0,11134156940,249314731,11/11/19 9:29,11/11/19 9:30,131.204.254.84,x71@x.edu,,,,,FALSE,2,,FALSE,73,,FALSE,31,,FALSE,9,,FALSE,59,TRUE,,16
86.0,11134137057,249314731,11/11/19 9:22,11/11/19 9:23,131.204.254.85,x133@x.edu,,,,TRUE,,75,,FALSE,100,,FALSE,50,TRUE,,34,,FALSE,100,,FALSE,0
87.0,11134134864,249314731,11/11/19 9:22,11/11/19 9:22,24.179.38.206,x38@x.edu,,,,TRUE,,49,,FALSE,94,,FALSE,84,,FALSE,49,,FALSE,94,TRUE,,89
88.0,11134128954,249314731,11/11/19 9:19,11/11/19 9:20,131.204.254.86,x118@x.edu,,,,,FALSE,54,,FALSE,100,,FALSE,71,,FALSE,28,,FALSE,100,TRUE,,63
89.0,11134121595,249314731,11/11/19 9:17,11/11/19 9:18,174.223.132.255,x64@x.edu,,,,TRUE,,11,,FALSE,100,,FALSE,100,TRUE,,50,,FALSE,100,TRUE,,51
90.0,11134117845,249314731,11/11/19 9:16,11/11/19 9:16,131.204.254.86,x84@x.edu,,,,TRUE,,6,,FALSE,87,,FALSE,29,,FALSE,7,,FALSE,100,TRUE,,47
92.0,11134093231,249314731,11/11/19 9:07,11/11/19 9:08,24.179.2.79,x141@x.edu,,,,TRUE,,66,,FALSE,61,,FALSE,69,,FALSE,70,,FALSE,100,TRUE,,0
